ACCOUNT_ID|CUSTOMER_ID|DATE_ACCOUNT_OPENED|ACCOUNT_NAME
1|1|2015-02-15|odio. Etiam ligula tortor, dictum
2|2|2015-08-11|Donec tincidunt.
3|3|2015-03-10|tincidunt adipiscing.
4|4|2015-04-09|ornare, libero at auctor ullamcorper,
5|5|2014-12-19|risus quis
6|6|2014-12-09|risus. Nunc ac sem ut
7|7|2014-09-06|velit. Cras lorem
8|8|2015-02-03|egestas nunc sed libero.
9|9|2015-02-27|lobortis mauris. Suspendisse
10|10|2015-01-21|sed sem egestas
11|11|2015-06-18|urna
12|12|2015-05-26|posuere, enim nisl
13|13|2015-08-05|ligula eu enim. Etiam
14|14|2015-06-08|montes, nascetur ridiculus mus. Donec
15|15|2014-12-10|neque venenatis lacus.
16|16|2014-11-06|feugiat. Sed nec metus facilisis
17|17|2014-10-24|tristique senectus
18|18|2015-07-24|posuere,
19|19|2014-09-14|ut ipsum ac mi eleifend
20|20|2015-06-10|eget, venenatis a, magna.
21|21|2015-07-21|augue malesuada malesuada. Integer
22|22|2015-04-25|cursus vestibulum. Mauris magna. Duis
23|23|2014-12-09|ipsum
24|24|2015-01-20|Nam ligula elit, pretium et,
25|25|2014-09-10|In tincidunt congue
26|26|2014-09-16|Quisque nonummy ipsum
27|27|2014-12-14|Nam tempor diam dictum sapien.
28|28|2015-04-18|nec, mollis
29|29|2015-03-23|orci, adipiscing non,
30|30|2015-04-16|non lorem vitae odio
31|31|2015-03-26|Donec nibh.
32|32|2015-05-31|Sed id
33|33|2015-04-02|natoque penatibus et magnis dis
34|34|2014-09-16|et libero. Proin mi.
35|35|2015-01-21|imperdiet ornare. In
36|36|2015-04-30|quis diam
37|37|2015-03-18|ac tellus. Suspendisse sed
38|38|2014-10-30|semper
39|39|2014-10-23|in, dolor. Fusce feugiat.
40|40|2015-03-21|Sed eget lacus. Mauris
41|41|2014-11-22|scelerisque neque. Nullam nisl. Maecenas
42|42|2015-03-14|gravida sit amet, dapibus id,
43|43|2015-02-28|accumsan convallis, ante lectus convallis
44|44|2015-04-12|non enim.
45|45|2015-01-07|luctus. Curabitur
46|46|2015-03-26|egestas a,
47|47|2015-03-14|molestie tortor nibh
48|48|2015-02-01|vel, convallis in,
49|49|2015-08-01|diam luctus lobortis. Class
50|50|2015-06-13|nonummy ultricies ornare,
51|51|2014-09-30|Cras eget
52|52|2015-01-22|et
53|53|2014-09-22|mus.
54|54|2014-09-09|velit
55|55|2015-04-29|ipsum leo elementum sem,
56|56|2015-08-15|Curae;
57|57|2015-01-03|turpis. Nulla aliquet.
58|58|2015-01-21|dolor.
59|59|2015-07-29|non,
60|60|2015-06-09|Donec nibh
61|61|2015-01-31|facilisis lorem tristique aliquet. Phasellus
62|62|2014-12-05|purus. Nullam scelerisque
63|63|2014-09-05|tristique
64|64|2014-10-10|commodo
65|65|2015-03-16|libero. Donec consectetuer mauris id
66|66|2015-03-28|urna. Nullam lobortis quam
67|67|2015-04-07|fringilla
68|68|2015-02-05|dolor sit amet,
69|69|2015-05-30|Suspendisse non leo.
70|70|2015-03-05|sociis natoque
71|71|2015-05-12|nisi magna sed dui. Fusce
72|72|2015-05-24|erat, eget tincidunt dui augue
73|73|2015-06-16|arcu. Vestibulum ut
74|74|2014-12-09|nascetur ridiculus mus.
75|75|2015-03-13|magna. Duis dignissim tempor
76|76|2014-10-20|euismod mauris eu elit. Nulla
77|77|2014-11-15|auctor,
78|78|2015-01-14|eleifend.
79|79|2014-10-24|purus. Maecenas libero est,
80|80|2015-02-21|nunc
81|81|2014-11-16|augue ac
82|82|2014-11-09|et nunc.
83|83|2014-09-11|consequat purus. Maecenas libero
84|84|2015-07-27|imperdiet nec,
85|85|2015-07-08|libero mauris, aliquam eu, accumsan
86|86|2015-03-14|fermentum arcu. Vestibulum
87|87|2015-08-07|ligula. Nullam enim. Sed
88|88|2015-05-18|et risus. Quisque libero
89|89|2015-07-25|at
90|90|2015-03-04|et arcu imperdiet
91|91|2015-05-13|ligula tortor, dictum eu, placerat
92|92|2015-07-01|sem. Pellentesque
93|93|2014-12-04|sem semper erat,
94|94|2014-12-26|luctus ut, pellentesque eget,
95|95|2014-09-06|ut
96|96|2015-03-31|ut erat. Sed
97|97|2015-04-12|dui. Cum sociis
98|98|2015-05-29|Nunc laoreet
99|99|2014-10-20|eu
100|100|2015-01-22|arcu ac orci. Ut semper